MSOA21CD	MSOA21NM	Licence area	Licence area (alternative)
E02000210	Croydon 017	SPN	UKPN (South)
E02000211	Croydon 018	SPN	UKPN (South)
E02000212	Croydon 019	SPN	UKPN (South)
E02000213	Croydon 020	SPN	UKPN (South)
E02000217	Croydon 024	SPN	UKPN (South)
E02000219	Croydon 026	SPN	UKPN (South)
E02000220	Croydon 027	SPN	UKPN (South)
E02000221	Croydon 028	SPN	UKPN (South)
E02000222	Croydon 029	SPN	UKPN (South)
E02000223	Croydon 030	SPN	UKPN (South)
E02000224	Croydon 031	SPN	UKPN (South)
E02000225	Croydon 032	SPN	UKPN (South)
E02000226	Croydon 033	SPN	UKPN (South)
E02000228	Croydon 035	SPN	UKPN (South)
E02000231	Croydon 038	SPN	UKPN (South)
E02000234	Croydon 041	SPN	UKPN (South)
E02000236	Croydon 043	SPN	UKPN (South)
E02000237	Croydon 044	SPN	UKPN (South)
E02000278	Enfield 002	EPN	UKPN (East)
E02000280	Enfield 004	EPN	UKPN (East)
E02000281	Enfield 005	EPN	UKPN (East)
E02000282	Enfield 006	EPN	UKPN (East)
E02000283	Enfield 007	EPN	UKPN (East)
E02000284	Enfield 008	EPN	UKPN (East)
E02000286	Enfield 010	EPN	UKPN (East)
E02000291	Enfield 015	EPN	UKPN (East)
E02000294	Enfield 018	EPN	UKPN (East)
E02000295	Enfield 019	EPN	UKPN (East)
E02000296	Enfield 020	EPN	UKPN (East)
E02000298	Enfield 022	EPN	UKPN (East)
E02000299	Enfield 023	EPN	UKPN (East)
E02000300	Enfield 024	EPN	UKPN (East)
E02000302	Enfield 026	EPN	UKPN (East)
E02000303	Enfield 027	EPN	UKPN (East)
E02000304	Enfield 028	EPN	UKPN (East)
E02000305	Enfield 029	EPN	UKPN (East)
E02000306	Enfield 030	EPN	UKPN (East)
E02000308	Enfield 032	EPN	UKPN (East)
E02000315	Greenwich 003	LPN	UKPN (London)
E02000317	Greenwich 005	LPN	UKPN (London)
E02000318	Greenwich 006	LPN	UKPN (London)
E02000332	Greenwich 020	LPN	UKPN (London)
E02000337	Greenwich 025	LPN	UKPN (London)
E02000341	Greenwich 029	LPN	UKPN (London)
E02000345	Hackney 001	LPN	UKPN (London)
E02000347	Hackney 003	LPN	UKPN (London)
E02000348	Hackney 004	LPN	UKPN (London)
E02000350	Hackney 006	LPN	UKPN (London)
E02000353	Hackney 009	LPN	UKPN (London)
E02000355	Hackney 011	LPN	UKPN (London)
E02000364	Hackney 020	LPN	UKPN (London)
E02000366	Hackney 022	LPN	UKPN (London)
E02000372	Hammersmith and Fulham 001	LPN	UKPN (London)
E02000377	Hammersmith and Fulham 006	LPN	UKPN (London)
E02000381	Hammersmith and Fulham 010	LPN	UKPN (London)
E02000384	Hammersmith and Fulham 013	LPN	UKPN (London)
E02000386	Hammersmith and Fulham 015	LPN	UKPN (London)
E02000388	Hammersmith and Fulham 017	LPN	UKPN (London)
E02000389	Hammersmith and Fulham 018	LPN	UKPN (London)
E02000391	Hammersmith and Fulham 020	LPN	UKPN (London)
E02000394	Hammersmith and Fulham 023	LPN	UKPN (London)
E02000416	Haringey 020	EPN	UKPN (East)
E02000434	Harrow 002	EPN	UKPN (East)
E02000437	Harrow 005	EPN	UKPN (East)
E02000438	Harrow 006	EPN	UKPN (East)
E02000439	Harrow 007	EPN	UKPN (East)
E02000440	Harrow 008	EPN	UKPN (East)
E02000442	Harrow 010	EPN	UKPN (East)
E02000443	Harrow 011	EPN	UKPN (East)
E02000444	Harrow 012	EPN	UKPN (East)
E02000445	Harrow 013	EPN	UKPN (East)
E02000449	Harrow 017	EPN	UKPN (East)
E02000463	Harrow 031	EPN	UKPN (East)
E02000465	Havering 002	EPN	UKPN (East)
E02000466	Havering 003	EPN	UKPN (East)
E02000468	Havering 005	EPN	UKPN (East)
E02000470	Havering 007	EPN	UKPN (East)
E02000471	Havering 008	EPN	UKPN (East)
E02000474	Havering 011	EPN	UKPN (East)
E02000476	Havering 013	EPN	UKPN (East)
E02000479	Havering 016	EPN	UKPN (East)
E02000481	Havering 018	EPN	UKPN (East)
E02000483	Havering 020	EPN	UKPN (East)
E02000484	Havering 021	EPN	UKPN (East)
E02000485	Havering 022	EPN	UKPN (East)
E02000486	Havering 023	EPN	UKPN (East)
E02000487	Havering 024	EPN	UKPN (East)
E02000488	Havering 025	EPN	UKPN (East)
E02000489	Havering 026	EPN	UKPN (East)
E02000490	Havering 027	EPN	UKPN (East)
E02000491	Havering 028	EPN	UKPN (East)
E02000494	Hillingdon 001	EPN	UKPN (East)
E02000497	Hillingdon 004	EPN	UKPN (East)
E02000499	Hillingdon 006	EPN	UKPN (East)
E02000500	Hillingdon 007	EPN	UKPN (East)
E02000501	Hillingdon 008	EPN	UKPN (East)
E02000502	Hillingdon 009	EPN	UKPN (East)
E02000503	Hillingdon 010	EPN	UKPN (East)
E02000557	Islington 004	LPN	UKPN (London)
E02000558	Islington 005	LPN	UKPN (London)
E02000562	Islington 009	LPN	UKPN (London)
E02000563	Islington 010	LPN	UKPN (London)
E02000565	Islington 012	LPN	UKPN (London)
E02000566	Islington 013	LPN	UKPN (London)
E02000568	Islington 015	LPN	UKPN (London)
E02000570	Islington 017	LPN	UKPN (London)
E02000571	Islington 018	LPN	UKPN (London)
E02000572	Islington 019	LPN	UKPN (London)
E02000573	Islington 020	LPN	UKPN (London)
E02000574	Islington 021	LPN	UKPN (London)
E02000576	Islington 023	LPN	UKPN (London)
E02000577	Kensington and Chelsea 001	LPN	UKPN (London)
E02000579	Kensington and Chelsea 003	LPN	UKPN (London)
E02000580	Kensington and Chelsea 004	LPN	UKPN (London)
E02000581	Kensington and Chelsea 005	LPN	UKPN (London)
E02000582	Kensington and Chelsea 006	LPN	UKPN (London)
E02000583	Kensington and Chelsea 007	LPN	UKPN (London)
E02000584	Kensington and Chelsea 008	LPN	UKPN (London)
E02000585	Kensington and Chelsea 009	LPN	UKPN (London)
E02000586	Kensington and Chelsea 010	LPN	UKPN (London)
E02000587	Kensington and Chelsea 011	LPN	UKPN (London)
E02000588	Kensington and Chelsea 012	LPN	UKPN (London)
E02000589	Kensington and Chelsea 013	LPN	UKPN (London)
E02000590	Kensington and Chelsea 014	LPN	UKPN (London)
E02000592	Kensington and Chelsea 016	LPN	UKPN (London)
E02000593	Kensington and Chelsea 017	LPN	UKPN (London)
E02000594	Kensington and Chelsea 018	LPN	UKPN (London)
E02000595	Kensington and Chelsea 019	LPN	UKPN (London)
E02000596	Kensington and Chelsea 020	LPN	UKPN (London)
E02000597	Kensington and Chelsea 021	LPN	UKPN (London)
E02000598	Kingston upon Thames 001	SPN	UKPN (South)
E02000599	Kingston upon Thames 002	LPN	UKPN (London)
E02000602	Kingston upon Thames 005	SPN	UKPN (South)
E02000604	Kingston upon Thames 007	LPN	UKPN (London)
E02000605	Kingston upon Thames 008	LPN	UKPN (London)
E02000606	Kingston upon Thames 009	SPN	UKPN (South)
E02000609	Kingston upon Thames 012	LPN	UKPN (London)
E02000610	Kingston upon Thames 013	SPN	UKPN (South)
E02000611	Kingston upon Thames 014	SPN	UKPN (South)
E02000612	Kingston upon Thames 015	LPN	UKPN (London)
E02000613	Kingston upon Thames 016	SPN	UKPN (South)
E02000614	Kingston upon Thames 017	SPN	UKPN (South)
E02000615	Kingston upon Thames 018	SPN	UKPN (South)
E02000617	Kingston upon Thames 020	SPN	UKPN (South)
E02000619	Lambeth 002	LPN	UKPN (London)
E02000620	Lambeth 003	LPN	UKPN (London)
E02000622	Lambeth 005	LPN	UKPN (London)
E02000623	Lambeth 006	LPN	UKPN (London)
E02000624	Lambeth 007	LPN	UKPN (London)
E02000625	Lambeth 008	LPN	UKPN (London)
E02000626	Lambeth 009	LPN	UKPN (London)
E02000627	Lambeth 010	LPN	UKPN (London)
E02000629	Lambeth 012	LPN	UKPN (London)
E02000630	Lambeth 013	LPN	UKPN (London)
E02000631	Lambeth 014	LPN	UKPN (London)
E02000632	Lambeth 015	LPN	UKPN (London)
E02000633	Lambeth 016	LPN	UKPN (London)
E02000635	Lambeth 018	LPN	UKPN (London)
E02000636	Lambeth 019	LPN	UKPN (London)
E02000637	Lambeth 020	LPN	UKPN (London)
E02000638	Lambeth 021	LPN	UKPN (London)
E02000639	Lambeth 022	LPN	UKPN (London)
E02000641	Lambeth 024	LPN	UKPN (London)
E02000642	Lambeth 025	LPN	UKPN (London)
E02000643	Lambeth 026	LPN	UKPN (London)
E02000644	Lambeth 027	LPN	UKPN (London)
E02000645	Lambeth 028	LPN	UKPN (London)
E02000646	Lambeth 029	LPN	UKPN (London)
E02000647	Lambeth 030	LPN	UKPN (London)
E02000648	Lambeth 031	LPN	UKPN (London)
E02000650	Lambeth 033	LPN	UKPN (London)
E02000651	Lambeth 034	LPN	UKPN (London)
E02000652	Lambeth 035	LPN	UKPN (London)
E02000653	Lewisham 001	LPN	UKPN (London)
E02000654	Lewisham 002	LPN	UKPN (London)
E02000655	Lewisham 003	LPN	UKPN (London)
E02000657	Lewisham 005	LPN	UKPN (London)
E02000658	Lewisham 006	LPN	UKPN (London)
E02000659	Lewisham 007	LPN	UKPN (London)
E02000660	Lewisham 008	LPN	UKPN (London)
E02000662	Lewisham 010	LPN	UKPN (London)
E02000669	Lewisham 017	LPN	UKPN (London)
E02000671	Lewisham 019	LPN	UKPN (London)
E02000672	Lewisham 020	LPN	UKPN (London)
E02000673	Lewisham 021	LPN	UKPN (London)
E02000674	Lewisham 022	LPN	UKPN (London)
E02000675	Lewisham 023	LPN	UKPN (London)
E02000676	Lewisham 024	LPN	UKPN (London)
E02000679	Lewisham 027	LPN	UKPN (London)
E02000681	Lewisham 029	LPN	UKPN (London)
E02000682	Lewisham 030	LPN	UKPN (London)
E02000685	Lewisham 033	LPN	UKPN (London)
E02000687	Lewisham 035	LPN	UKPN (London)
E02000689	Merton 001	LPN	UKPN (London)
E02000691	Merton 003	LPN	UKPN (London)
E02000692	Merton 004	LPN	UKPN (London)
E02000693	Merton 005	LPN	UKPN (London)
E02000694	Merton 006	LPN	UKPN (London)
E02000695	Merton 007	LPN	UKPN (London)
E02000696	Merton 008	LPN	UKPN (London)
E02000697	Merton 009	LPN	UKPN (London)
E02000698	Merton 010	LPN	UKPN (London)
E02000699	Merton 011	LPN	UKPN (London)
E02000700	Merton 012	LPN	UKPN (London)
E02000701	Merton 013	LPN	UKPN (London)
E02000702	Merton 014	LPN	UKPN (London)
E02000703	Merton 015	LPN	UKPN (London)
E02000704	Merton 016	LPN	UKPN (London)
E02000705	Merton 017	LPN	UKPN (London)
E02000706	Merton 018	LPN	UKPN (London)
E02000707	Merton 019	LPN	UKPN (London)
E02000708	Merton 020	LPN	UKPN (London)
E02000709	Merton 021	LPN	UKPN (London)
E02000710	Merton 022	LPN	UKPN (London)
E02000711	Merton 023	LPN	UKPN (London)
E02000712	Merton 024	LPN	UKPN (London)
E02000713	Merton 025	LPN	UKPN (London)
E02000721	Newham 008	LPN	UKPN (London)
E02000723	Newham 010	LPN	UKPN (London)
E02000724	Newham 011	LPN	UKPN (London)
E02000726	Newham 013	LPN	UKPN (London)
E02000728	Newham 015	LPN	UKPN (London)
E02000731	Newham 018	LPN	UKPN (London)
E02000733	Newham 020	LPN	UKPN (London)
E02000736	Newham 023	LPN	UKPN (London)
E02000737	Newham 024	LPN	UKPN (London)
E02000745	Newham 032	LPN	UKPN (London)
E02000749	Newham 036	LPN	UKPN (London)
E02000782	Redbridge 032	LPN	UKPN (London)
E02000787	Richmond upon Thames 004	SPN	UKPN (South)
E02000788	Richmond upon Thames 005	LPN	UKPN (London)
E02000793	Richmond upon Thames 010	SPN	UKPN (South)
E02000807	Southwark 001	LPN	UKPN (London)
E02000808	Southwark 002	LPN	UKPN (London)
E02000810	Southwark 004	LPN	UKPN (London)
E02000813	Southwark 007	LPN	UKPN (London)
E02000814	Southwark 008	LPN	UKPN (London)
E02000816	Southwark 010	LPN	UKPN (London)
E02000819	Southwark 013	LPN	UKPN (London)
E02000821	Southwark 015	LPN	UKPN (London)
E02000822	Southwark 016	LPN	UKPN (London)
E02000823	Southwark 017	LPN	UKPN (London)
E02000824	Southwark 018	LPN	UKPN (London)
E02000825	Southwark 019	LPN	UKPN (London)
E02000826	Southwark 020	LPN	UKPN (London)
E02000829	Southwark 023	LPN	UKPN (London)
E02000830	Southwark 024	LPN	UKPN (London)
E02000831	Southwark 025	LPN	UKPN (London)
E02000832	Southwark 026	LPN	UKPN (London)
E02000833	Southwark 027	LPN	UKPN (London)
E02000834	Southwark 028	LPN	UKPN (London)
E02000836	Southwark 030	LPN	UKPN (London)
E02000837	Southwark 031	LPN	UKPN (London)
E02000838	Southwark 032	LPN	UKPN (London)
E02000839	Southwark 033	LPN	UKPN (London)
E02000840	Sutton 001	SPN	UKPN (South)
E02000841	Sutton 002	SPN	UKPN (South)
E02000842	Sutton 003	SPN	UKPN (South)
E02000843	Sutton 004	SPN	UKPN (South)
E02000844	Sutton 005	SPN	UKPN (South)
E02000845	Sutton 006	SPN	UKPN (South)
E02000848	Sutton 009	SPN	UKPN (South)
E02000849	Sutton 010	SPN	UKPN (South)
E02000851	Sutton 012	SPN	UKPN (South)
E02000852	Sutton 013	SPN	UKPN (South)
E02000853	Sutton 014	SPN	UKPN (South)
E02000854	Sutton 015	SPN	UKPN (South)
E02000855	Sutton 016	SPN	UKPN (South)
E02000856	Sutton 017	SPN	UKPN (South)
E02000857	Sutton 018	SPN	UKPN (South)
E02000858	Sutton 019	SPN	UKPN (South)
E02000859	Sutton 020	SPN	UKPN (South)
E02000860	Sutton 021	SPN	UKPN (South)
E02000861	Sutton 022	SPN	UKPN (South)
E02000866	Tower Hamlets 003	LPN	UKPN (London)
E02000871	Tower Hamlets 008	LPN	UKPN (London)
E02000873	Tower Hamlets 010	LPN	UKPN (London)
E02000875	Tower Hamlets 012	LPN	UKPN (London)
E02000877	Tower Hamlets 014	LPN	UKPN (London)
E02000878	Tower Hamlets 015	LPN	UKPN (London)
E02000884	Tower Hamlets 021	LPN	UKPN (London)
E02000888	Tower Hamlets 025	LPN	UKPN (London)
E02000895	Waltham Forest 001	EPN	UKPN (East)
E02000896	Waltham Forest 002	EPN	UKPN (East)
E02000898	Waltham Forest 004	EPN	UKPN (East)
E02000899	Waltham Forest 005	EPN	UKPN (East)
E02000903	Waltham Forest 009	LPN	UKPN (London)
E02000905	Waltham Forest 011	LPN	UKPN (London)
E02000906	Waltham Forest 012	LPN	UKPN (London)
E02000908	Waltham Forest 014	LPN	UKPN (London)
E02000909	Waltham Forest 015	LPN	UKPN (London)
E02000911	Waltham Forest 017	LPN	UKPN (London)
E02000912	Waltham Forest 018	LPN	UKPN (London)
E02000913	Waltham Forest 019	LPN	UKPN (London)
E02000914	Waltham Forest 020	LPN	UKPN (London)
E02000915	Waltham Forest 021	LPN	UKPN (London)
E02000916	Waltham Forest 022	LPN	UKPN (London)
E02000917	Waltham Forest 023	LPN	UKPN (London)
E02000918	Waltham Forest 024	LPN	UKPN (London)
E02000919	Waltham Forest 025	LPN	UKPN (London)
E02000920	Waltham Forest 026	LPN	UKPN (London)
E02000928	Wandsworth 006	LPN	UKPN (London)
E02000930	Wandsworth 008	LPN	UKPN (London)
E02000931	Wandsworth 009	LPN	UKPN (London)
E02000933	Wandsworth 011	LPN	UKPN (London)
E02000934	Wandsworth 012	LPN	UKPN (London)
E02000936	Wandsworth 014	LPN	UKPN (London)
E02000937	Wandsworth 015	LPN	UKPN (London)
E02000938	Wandsworth 016	LPN	UKPN (London)
E02000939	Wandsworth 017	LPN	UKPN (London)
E02000943	Wandsworth 021	LPN	UKPN (London)
E02000946	Wandsworth 024	LPN	UKPN (London)
E02000947	Wandsworth 025	LPN	UKPN (London)
E02000950	Wandsworth 028	LPN	UKPN (London)
E02000958	Wandsworth 036	LPN	UKPN (London)
E02000961	Westminster 002	LPN	UKPN (London)
E02000962	Westminster 003	LPN	UKPN (London)
E02000963	Westminster 004	LPN	UKPN (London)
E02000965	Westminster 006	LPN	UKPN (London)
E02000969	Westminster 010	LPN	UKPN (London)
E02000970	Westminster 011	LPN	UKPN (London)
E02000971	Westminster 012	LPN	UKPN (London)
E02000972	Westminster 013	LPN	UKPN (London)
E02000975	Westminster 016	LPN	UKPN (London)
E02000979	Westminster 020	LPN	UKPN (London)
E02000980	Westminster 021	LPN	UKPN (London)
E02000981	Westminster 022	LPN	UKPN (London)
E02003242	Peterborough 006	EPN	UKPN (East)
E02003244	Peterborough 008	EPN	UKPN (East)
E02003245	Peterborough 009	EPN	UKPN (East)
E02003246	Peterborough 010	EPN	UKPN (East)
E02003247	Peterborough 011	EPN	UKPN (East)
E02003248	Peterborough 012	EPN	UKPN (East)
E02003250	Peterborough 014	EPN	UKPN (East)
E02003251	Peterborough 015	EPN	UKPN (East)
E02003253	Peterborough 017	EPN	UKPN (East)
E02003254	Peterborough 018	EPN	UKPN (East)
E02003270	Luton 013	EPN	UKPN (East)
E02003272	Luton 015	EPN	UKPN (East)
E02003296	Thurrock 001	EPN	UKPN (East)
E02003297	Thurrock 002	EPN	UKPN (East)
E02003298	Thurrock 003	EPN	UKPN (East)
E02003300	Thurrock 005	EPN	UKPN (East)
E02003303	Thurrock 008	EPN	UKPN (East)
E02003309	Thurrock 014	EPN	UKPN (East)
E02003311	Thurrock 016	EPN	UKPN (East)
E02003316	Medway 003	SPN	UKPN (South)
E02003319	Medway 006	SPN	UKPN (South)
E02003324	Medway 011	SPN	UKPN (South)
E02003326	Medway 013	SPN	UKPN (South)
E02003328	Medway 015	SPN	UKPN (South)
E02003338	Medway 025	SPN	UKPN (South)
E02003340	Medway 027	SPN	UKPN (South)
E02003344	Medway 031	SPN	UKPN (South)
E02003348	Medway 035	SPN	UKPN (South)
E02003349	Medway 036	SPN	UKPN (South)
E02003351	Medway 038	SPN	UKPN (South)
E02003491	Brighton and Hove 001	SPN	UKPN (South)
E02003493	Brighton and Hove 003	SPN	UKPN (South)
E02003495	Brighton and Hove 005	SPN	UKPN (South)
E02003496	Brighton and Hove 006	SPN	UKPN (South)
E02003497	Brighton and Hove 007	SPN	UKPN (South)
E02003498	Brighton and Hove 008	SPN	UKPN (South)
E02003499	Brighton and Hove 009	SPN	UKPN (South)
E02003500	Brighton and Hove 010	SPN	UKPN (South)
E02003501	Brighton and Hove 011	SPN	UKPN (South)
E02003502	Brighton and Hove 012	SPN	UKPN (South)
E02003504	Brighton and Hove 014	SPN	UKPN (South)
E02003505	Brighton and Hove 015	SPN	UKPN (South)
E02003508	Brighton and Hove 018	SPN	UKPN (South)
E02003509	Brighton and Hove 019	SPN	UKPN (South)
E02003510	Brighton and Hove 020	SPN	UKPN (South)
E02003511	Brighton and Hove 021	SPN	UKPN (South)
E02003512	Brighton and Hove 022	SPN	UKPN (South)
E02003514	Brighton and Hove 024	SPN	UKPN (South)
E02003516	Brighton and Hove 026	SPN	UKPN (South)
E02003518	Brighton and Hove 028	SPN	UKPN (South)
E02003519	Brighton and Hove 029	SPN	UKPN (South)
E02003520	Brighton and Hove 030	SPN	UKPN (South)
E02003521	Brighton and Hove 031	SPN	UKPN (South)
E02003601	Central Bedfordshire 003	EPN	UKPN (East)
E02003605	Central Bedfordshire 007	EPN	UKPN (East)
E02003606	Central Bedfordshire 008	EPN	UKPN (East)
E02003607	Central Bedfordshire 009	EPN	UKPN (East)
E02003610	Central Bedfordshire 012	EPN	UKPN (East)
E02003611	Central Bedfordshire 013	EPN	UKPN (East)
E02003614	Central Bedfordshire 016	EPN	UKPN (East)
E02003615	Central Bedfordshire 017	EPN	UKPN (East)
E02003617	Bedford 002	EPN	UKPN (East)
E02003618	Bedford 003	EPN	UKPN (East)
E02003623	Bedford 008	EPN	UKPN (East)
E02003628	Bedford 013	EPN	UKPN (East)
E02003633	Bedford 018	EPN	UKPN (East)
E02003634	Bedford 019	EPN	UKPN (East)
E02003637	Central Bedfordshire 019	EPN	UKPN (East)
E02003638	Central Bedfordshire 020	EPN	UKPN (East)
E02003639	Central Bedfordshire 021	EPN	UKPN (East)
E02003642	Central Bedfordshire 025	EPN	UKPN (East)
E02003644	Central Bedfordshire 026	EPN	UKPN (East)
E02003647	Central Bedfordshire 029	EPN	UKPN (East)
E02003650	Central Bedfordshire 032	EPN	UKPN (East)
E02003658	Aylesbury Vale 007	EPN	UKPN (East)
E02003666	Aylesbury Vale 015	EPN	UKPN (East)
E02003675	Aylesbury Vale 024	EPN	UKPN (East)
E02003682	Chiltern 007	EPN	UKPN (East)
E02003696	Wycombe 001	EPN	UKPN (East)
E02003722	Cambridge 004	EPN	UKPN (East)
E02003725	Cambridge 007	EPN	UKPN (East)
E02003726	Cambridge 008	EPN	UKPN (East)
E02003727	Cambridge 009	EPN	UKPN (East)
E02003728	Cambridge 010	EPN	UKPN (East)
E02003730	Cambridge 012	EPN	UKPN (East)
E02003731	Cambridge 013	EPN	UKPN (East)
E02003732	East Cambridgeshire 001	EPN	UKPN (East)
E02003733	East Cambridgeshire 002	EPN	UKPN (East)
E02003743	Fenland 002	EPN	UKPN (East)
E02003752	Fenland 011	EPN	UKPN (East)
E02003755	Huntingdonshire 003	EPN	UKPN (East)
E02003756	Huntingdonshire 004	EPN	UKPN (East)
E02003760	Huntingdonshire 008	EPN	UKPN (East)
E02003762	Huntingdonshire 010	EPN	UKPN (East)
E02003764	Huntingdonshire 012	EPN	UKPN (East)
E02003772	Huntingdonshire 020	EPN	UKPN (East)
E02003783	South Cambridgeshire 009	EPN	UKPN (East)
E02003784	South Cambridgeshire 010	EPN	UKPN (East)
E02003788	South Cambridgeshire 014	EPN	UKPN (East)
E02003789	South Cambridgeshire 015	EPN	UKPN (East)
E02004356	Eastbourne 001	SPN	UKPN (South)
E02004357	Eastbourne 002	SPN	UKPN (South)
E02004358	Eastbourne 003	SPN	UKPN (South)
E02004359	Eastbourne 004	SPN	UKPN (South)
E02004361	Eastbourne 006	SPN	UKPN (South)
E02004362	Eastbourne 007	SPN	UKPN (South)
E02004364	Eastbourne 009	SPN	UKPN (South)
E02004367	Eastbourne 012	SPN	UKPN (South)
E02004370	Hastings 003	SPN	UKPN (South)
E02004373	Hastings 006	SPN	UKPN (South)
E02004374	Hastings 007	SPN	UKPN (South)
E02004375	Hastings 008	SPN	UKPN (South)
E02004378	Hastings 011	SPN	UKPN (South)
E02004379	Lewes 001	SPN	UKPN (South)
E02004380	Lewes 002	SPN	UKPN (South)
E02004383	Lewes 005	SPN	UKPN (South)
E02004384	Lewes 006	SPN	UKPN (South)
E02004385	Lewes 007	SPN	UKPN (South)
E02004390	Lewes 012	SPN	UKPN (South)
E02004394	Rother 003	SPN	UKPN (South)
E02004395	Rother 004	SPN	UKPN (South)
E02004396	Rother 005	SPN	UKPN (South)
E02004397	Rother 006	SPN	UKPN (South)
E02004399	Rother 008	SPN	UKPN (South)
E02004401	Rother 010	SPN	UKPN (South)
E02004402	Rother 011	SPN	UKPN (South)
E02004407	Wealden 005	SPN	UKPN (South)
E02004408	Wealden 006	SPN	UKPN (South)
E02004412	Wealden 010	SPN	UKPN (South)
E02004413	Wealden 011	SPN	UKPN (South)
E02004416	Wealden 014	SPN	UKPN (South)
E02004421	Wealden 019	SPN	UKPN (South)
E02004423	Wealden 021	SPN	UKPN (South)
E02004424	Basildon 001	EPN	UKPN (East)
E02004425	Basildon 002	EPN	UKPN (East)
E02004426	Basildon 003	EPN	UKPN (East)
E02004427	Basildon 004	EPN	UKPN (East)
E02004429	Basildon 006	EPN	UKPN (East)
E02004430	Basildon 007	EPN	UKPN (East)
E02004431	Basildon 008	EPN	UKPN (East)
E02004433	Basildon 010	EPN	UKPN (East)
E02004435	Basildon 012	EPN	UKPN (East)
E02004436	Basildon 013	EPN	UKPN (East)
E02004437	Basildon 014	EPN	UKPN (East)
E02004438	Basildon 015	EPN	UKPN (East)
E02004439	Basildon 016	EPN	UKPN (East)
E02004440	Basildon 017	EPN	UKPN (East)
E02004441	Basildon 018	EPN	UKPN (East)
E02004442	Basildon 019	EPN	UKPN (East)
E02004443	Basildon 020	EPN	UKPN (East)
E02004445	Basildon 022	EPN	UKPN (East)
E02004449	Braintree 004	EPN	UKPN (East)
E02004451	Braintree 006	EPN	UKPN (East)
E02004454	Braintree 009	EPN	UKPN (East)
E02004456	Braintree 011	EPN	UKPN (East)
E02004457	Braintree 012	EPN	UKPN (East)
E02004458	Braintree 013	EPN	UKPN (East)
E02004463	Braintree 018	EPN	UKPN (East)
E02004466	Brentwood 003	EPN	UKPN (East)
E02004467	Brentwood 004	EPN	UKPN (East)
E02004471	Brentwood 008	EPN	UKPN (East)
E02004473	Castle Point 001	EPN	UKPN (East)
E02004474	Castle Point 002	EPN	UKPN (East)
E02004476	Castle Point 004	EPN	UKPN (East)
E02004479	Castle Point 007	EPN	UKPN (East)
E02004480	Castle Point 008	EPN	UKPN (East)
E02004483	Castle Point 011	EPN	UKPN (East)
E02004484	Castle Point 012	EPN	UKPN (East)
E02004486	Chelmsford 002	EPN	UKPN (East)
E02004487	Chelmsford 003	EPN	UKPN (East)
E02004489	Chelmsford 005	EPN	UKPN (East)
E02004490	Chelmsford 006	EPN	UKPN (East)
E02004491	Chelmsford 007	EPN	UKPN (East)
E02004496	Chelmsford 012	EPN	UKPN (East)
E02004497	Chelmsford 013	EPN	UKPN (East)
E02004499	Chelmsford 015	EPN	UKPN (East)
E02004500	Chelmsford 016	EPN	UKPN (East)
E02004501	Chelmsford 017	EPN	UKPN (East)
E02004503	Chelmsford 019	EPN	UKPN (East)
E02004512	Colchester 007	EPN	UKPN (East)
E02004515	Colchester 010	EPN	UKPN (East)
E02004517	Colchester 012	EPN	UKPN (East)
E02004519	Colchester 014	EPN	UKPN (East)
E02004520	Colchester 015	EPN	UKPN (East)
E02004522	Colchester 017	EPN	UKPN (East)
E02004524	Colchester 019	EPN	UKPN (East)
E02004525	Colchester 020	EPN	UKPN (East)
E02004526	Colchester 021	EPN	UKPN (East)
E02004527	Epping Forest 001	EPN	UKPN (East)
E02004528	Epping Forest 002	EPN	UKPN (East)
E02004533	Epping Forest 007	EPN	UKPN (East)
E02004534	Epping Forest 008	EPN	UKPN (East)
E02004539	Epping Forest 013	LPN	UKPN (London)
E02004545	Harlow 002	EPN	UKPN (East)
E02004546	Harlow 003	EPN	UKPN (East)
E02004547	Harlow 004	EPN	UKPN (East)
E02004548	Harlow 005	EPN	UKPN (East)
E02004549	Harlow 006	EPN	UKPN (East)
E02004550	Harlow 007	EPN	UKPN (East)
E02004551	Harlow 008	EPN	UKPN (East)
E02004552	Harlow 009	EPN	UKPN (East)
E02004553	Harlow 010	EPN	UKPN (East)
E02004554	Harlow 011	EPN	UKPN (East)
E02004557	Maldon 003	EPN	UKPN (East)
E02004560	Maldon 006	EPN	UKPN (East)
E02004562	Maldon 008	EPN	UKPN (East)
E02004564	Rochford 002	EPN	UKPN (East)
E02004567	Rochford 005	EPN	UKPN (East)
E02004568	Rochford 006	EPN	UKPN (East)
E02004569	Rochford 007	EPN	UKPN (East)
E02004571	Rochford 009	EPN	UKPN (East)
E02004572	Rochford 010	EPN	UKPN (East)
E02004578	Tendring 006	EPN	UKPN (East)
E02004579	Tendring 007	EPN	UKPN (East)
E02004583	Tendring 011	EPN	UKPN (East)
E02004585	Tendring 013	EPN	UKPN (East)
E02004586	Tendring 014	EPN	UKPN (East)
E02004587	Tendring 015	EPN	UKPN (East)
E02004589	Tendring 017	EPN	UKPN (East)
E02004590	Tendring 018	EPN	UKPN (East)
E02004593	Uttlesford 003	EPN	UKPN (East)
E02004597	Uttlesford 007	EPN	UKPN (East)
E02004844	Broxbourne 002	EPN	UKPN (East)
E02004847	Broxbourne 005	EPN	UKPN (East)
E02004850	Broxbourne 008	EPN	UKPN (East)
E02004852	Broxbourne 010	EPN	UKPN (East)
