LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000102,1,1,1,2,2,3,3,4,5,6,6,7,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,25,25,25,25
E01000103,1,1,2,2,2,3,3,4,5,6,7,8,9,10,11,13,14,15,16,18,19,20,21,22,23,25,25,26,26,26,26,26
E01000104,0,1,1,1,2,2,2,3,4,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,17,18,19,19,19,19,19,19
E01000105,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,6,6,6,7,7,8,8,8,9,9,9,9,9,9
E01000106,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,4,4,5,5,6,6,6,7,7,7,8,8,8,8,8,8,8
E01000107,1,1,1,2,2,3,3,4,5,5,6,7,8,9,11,12,13,14,15,16,18,19,20,21,22,23,23,24,24,24,24,24
E01000108,1,1,1,2,2,2,3,3,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,21,21,21,21,21
E01000109,1,1,2,2,2,3,3,4,5,6,7,8,9,10,11,13,14,15,16,18,19,20,21,22,23,24,25,26,26,26,26,26
E01000110,0,1,1,1,2,2,2,3,4,4,5,6,6,7,8,9,10,11,12,13,13,14,15,16,17,17,18,18,19,19,19,19
E01000111,0,0,0,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,5,6,6,7,7,7,8,8,8,9,9,9,9,9
E01000112,1,1,1,2,2,2,3,3,4,5,6,6,7,8,9,10,11,13,14,15,16,17,18,19,19,20,21,21,22,22,22,22
E01000113,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,6,6,6,6,6,6,6
E01000114,0,0,1,1,1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,9,9,10,10,11,11,12,12,12,12,12,12
