LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000078,71,71,71,71,71,70,70,70,70,70,70,66,61,56,52,47,42,37,33,28,23,18,13,8,4,0,0,0,0,0,0,0
E01000079,53,53,53,53,53,53,53,53,53,53,52,50,46,42,39,35,32,28,25,21,17,14,10,6,3,0,0,0,0,0,0,0
E01000080,70,70,70,70,70,69,69,69,69,69,69,65,60,56,51,46,41,37,32,27,23,18,13,8,4,0,0,0,0,0,0,0
E01000081,60,60,60,60,60,59,59,59,59,59,59,56,52,48,44,39,35,31,27,24,20,15,11,7,3,0,0,0,0,0,0,0
E01000082,74,74,74,74,74,74,74,74,74,74,73,69,64,59,54,49,44,39,34,29,24,19,14,9,4,0,0,0,0,0,0,0
E01000083,66,66,66,66,66,66,66,66,66,66,65,61,57,53,48,44,39,35,30,26,22,17,12,8,3,0,0,0,0,0,0,0
E01000084,57,57,56,56,56,56,56,56,56,56,55,53,49,45,41,37,34,30,26,22,18,15,11,7,3,0,0,0,0,0,0,0
E01000085,73,73,73,73,73,73,73,73,73,73,72,68,63,58,53,48,44,39,34,29,24,19,14,9,4,0,0,0,0,0,0,0
E01000086,47,47,47,47,47,47,47,47,47,47,46,44,41,37,34,31,28,25,22,18,15,12,9,6,2,0,0,0,0,0,0,0
E01000087,42,42,42,42,42,42,42,42,42,42,41,39,36,34,31,28,25,22,19,17,14,11,8,5,2,0,0,0,0,0,0,0
E01000088,96,96,96,96,96,96,96,96,96,96,95,90,83,77,70,64,57,51,44,38,32,25,18,12,5,0,0,0,0,0,0,0
E01000089,89,89,89,89,89,88,88,88,88,88,87,83,77,71,65,59,53,47,41,35,29,23,17,11,5,0,0,0,0,0,0,0
E01000090,59,59,58,58,58,58,58,58,58,58,57,54,51,47,43,39,35,31,27,23,19,15,11,7,3,0,0,0,0,0,0,0
E01000091,60,60,60,60,60,60,60,60,60,60,59,56,52,48,44,40,36,32,28,24,20,15,11,7,3,0,0,0,0,0,0,0
E01000092,52,52,52,52,52,52,52,52,52,52,52,49,45,42,38,35,31,28,24,21,17,13,10,6,3,0,0,0,0,0,0,0
E01000093,96,96,96,96,96,96,96,96,96,96,94,90,83,77,70,64,57,51,44,38,31,25,18,11,5,0,0,0,0,0,0,0
E01000094,35,35,35,35,35,35,35,35,35,35,34,33,30,28,26,23,21,18,16,14,11,9,7,4,2,0,0,0,0,0,0,0
E01000095,58,58,58,58,58,58,58,58,58,58,57,54,50,46,42,38,34,31,27,23,19,15,11,7,3,0,0,0,0,0,0,0
E01000096,41,41,41,41,41,41,41,41,41,41,40,38,36,33,30,27,24,22,19,16,13,11,8,5,2,0,0,0,0,0,0,0
E01000097,64,64,64,64,64,64,64,64,64,64,63,60,56,51,47,43,38,34,30,25,21,17,12,8,3,0,0,0,0,0,0,0
E01000098,61,61,61,61,61,60,60,60,60,60,60,57,52,48,44,40,36,32,28,24,20,16,11,7,3,0,0,0,0,0,0,0
E01000099,33,33,33,33,33,33,33,33,33,33,33,31,29,26,24,22,20,18,15,13,11,9,6,4,2,0,0,0,0,0,0,0
E01000100,65,65,64,64,64,64,64,64,64,64,63,60,56,51,47,43,38,34,30,25,21,17,12,8,3,0,0,0,0,0,0,0
E01000101,78,78,78,78,78,77,77,77,77,77,76,72,67,62,57,51,46,41,36,31,25,20,15,9,4,0,0,0,0,0,0,0
E01000102,65,65,65,65,65,65,65,65,65,65,64,61,56,52,47,43,39,34,30,26,21,17,12,8,3,0,0,0,0,0,0,0
E01000103,64,64,64,64,64,64,64,64,64,64,63,60,56,51,47,43,38,34,30,25,21,17,12,8,3,0,0,0,0,0,0,0
E01000104,76,76,76,76,76,75,75,75,75,75,74,71,66,60,55,50,45,40,35,30,25,20,14,9,4,0,0,0,0,0,0,0
E01000105,117,117,116,116,116,116,116,116,116,116,115,109,101,93,85,77,69,62,54,46,38,30,22,14,6,0,0,0,0,0,0,0
E01000106,154,154,154,154,154,153,153,153,153,153,151,144,133,123,112,102,92,81,71,61,50,40,29,18,8,0,0,0,0,0,0,0
E01000107,65,65,65,65,65,65,65,65,65,65,64,61,56,52,47,43,39,34,30,26,21,17,12,8,3,0,0,0,0,0,0,0
E01000108,76,75,75,75,75,75,75,75,75,75,74,70,65,60,55,50,45,40,35,30,25,19,14,9,4,0,0,0,0,0,0,0
E01000109,53,53,53,53,53,53,53,53,53,53,52,50,46,42,39,35,32,28,25,21,17,14,10,6,3,0,0,0,0,0,0,0
E01000110,39,39,39,39,39,39,39,39,39,39,38,36,34,31,28,26,23,21,18,15,13,10,7,5,2,0,0,0,0,0,0,0
E01000111,88,88,87,87,87,87,87,87,87,87,86,82,76,70,64,58,52,46,40,34,29,23,17,10,4,0,0,0,0,0,0,0
E01000112,83,83,83,83,83,83,83,83,83,83,82,77,72,66,61,55,49,44,38,33,27,21,16,10,4,0,0,0,0,0,0,0
E01000113,68,67,67,66,64,63,62,61,59,58,56,52,48,43,38,34,30,26,22,18,15,11,8,5,2,0,0,0,0,0,0,0
E01000114,90,90,90,90,90,89,89,89,89,89,88,84,78,72,66,59,53,47,41,35,29,23,17,11,5,0,0,0,0,0,0,0
E01000115,22,22,22,22,22,22,22,22,22,22,22,21,19,18,16,15,13,12,10,9,7,6,4,3,1,0,0,0,0,0,0,0
E01000116,34,34,33,33,33,33,33,33,33,33,33,31,29,27,24,22,20,18,15,13,11,9,6,4,2,0,0,0,0,0,0,0
E01000117,40,40,39,39,39,39,39,39,39,39,39,37,34,32,29,26,24,21,18,16,13,10,7,5,2,0,0,0,0,0,0,0
E01000118,27,27,27,27,27,27,27,27,27,27,27,25,24,22,20,18,16,14,13,11,9,7,5,3,1,0,0,0,0,0,0,0
E01000119,29,29,29,29,29,29,29,29,29,29,28,27,25,23,21,19,17,15,13,11,9,7,5,3,1,0,0,0,0,0,0,0
E01000120,22,22,22,22,22,22,22,22,22,22,22,21,19,18,16,15,13,12,10,9,7,6,4,3,1,0,0,0,0,0,0,0
E01000121,26,26,26,26,25,25,25,25,25,25,25,24,22,20,19,17,15,14,12,10,8,7,5,3,1,0,0,0,0,0,0,0
E01000122,32,32,32,32,32,32,32,32,32,32,32,30,28,26,24,21,19,17,15,13,11,8,6,4,2,0,0,0,0,0,0,0
E01000123,43,43,43,43,43,43,43,43,43,43,43,41,38,35,32,29,26,23,20,17,14,11,8,5,2,0,0,0,0,0,0,0
E01000124,50,50,49,49,49,49,49,49,49,49,49,46,43,40,36,33,30,26,23,20,16,13,9,6,3,0,0,0,0,0,0,0
E01000125,112,112,112,112,111,111,111,111,111,111,110,104,97,89,82,74,67,59,52,44,37,29,21,13,6,0,0,0,0,0,0,0
E01000126,110,110,110,110,110,109,109,109,109,109,108,103,95,88,80,73,66,58,51,43,36,28,21,13,6,0,0,0,0,0,0,0
E01000127,66,66,66,66,65,65,65,65,65,65,64,61,57,52,48,43,39,35,30,26,22,17,12,8,3,0,0,0,0,0,0,0
E01000128,65,65,65,65,65,65,64,64,64,64,64,60,56,52,47,43,39,34,30,26,21,17,12,8,3,0,0,0,0,0,0,0
E01000129,105,105,105,105,105,105,96,94,93,91,88,82,74,67,60,53,47,40,34,29,23,18,13,8,3,0,0,0,0,0,0,0
E01000130,68,68,68,68,68,68,68,68,68,68,67,64,59,55,50,45,41,36,32,27,22,18,13,8,4,0,0,0,0,0,0,0
E01000131,60,60,60,60,59,59,59,59,59,59,59,56,52,48,44,40,36,32,28,24,20,15,11,7,3,0,0,0,0,0,0,0
E01000132,49,49,49,49,49,49,49,49,49,49,48,46,43,39,36,33,29,26,23,19,16,13,9,6,3,0,0,0,0,0,0,0
E01000133,59,59,59,59,59,59,59,59,59,59,58,55,51,47,43,39,35,31,27,23,19,15,11,7,3,0,0,0,0,0,0,0
E01000134,57,57,57,57,57,57,57,57,57,57,56,53,50,46,42,38,34,30,26,23,19,15,11,7,3,0,0,0,0,0,0,0
E01000135,35,35,35,35,35,35,35,35,35,35,34,32,30,28,26,23,21,18,16,14,11,9,7,4,2,0,0,0,0,0,0,0
E01000136,65,65,65,65,65,65,65,65,65,65,64,61,57,53,48,44,39,35,30,26,22,17,12,8,3,0,0,0,0,0,0,0
E01000137,93,93,93,93,92,92,92,92,92,92,91,86,80,74,68,61,55,49,43,37,30,24,17,11,5,0,0,0,0,0,0,0
E01000138,44,44,44,44,44,44,44,44,44,44,43,41,38,35,32,29,26,23,20,17,14,11,8,5,2,0,0,0,0,0,0,0
E01000139,78,78,78,78,78,78,78,78,78,78,77,73,68,62,57,52,47,41,36,31,26,20,15,9,4,0,0,0,0,0,0,0
E01000140,104,104,104,104,99,97,95,93,92,90,87,81,74,66,59,53,46,40,34,28,23,18,13,8,3,0,0,0,0,0,0,0
E01000141,126,126,126,126,126,126,126,126,126,126,124,118,109,101,92,84,75,67,58,50,41,33,24,15,6,0,0,0,0,0,0,0
E01000142,90,90,90,90,90,90,90,90,90,90,89,85,79,72,66,60,54,48,42,36,30,23,17,11,5,0,0,0,0,0,0,0
E01000143,49,49,49,49,49,49,49,49,49,49,48,46,43,39,36,33,29,26,23,19,16,13,9,6,3,0,0,0,0,0,0,0
E01000144,67,67,67,65,64,63,61,60,59,58,56,52,48,43,38,34,30,26,22,18,15,11,8,5,2,0,0,0,0,0,0,0
E01000145,44,44,44,44,44,44,44,44,44,44,43,41,38,35,32,29,26,23,20,17,14,11,8,5,2,0,0,0,0,0,0,0
E01000146,73,73,72,71,70,68,67,66,64,63,61,57,52,47,42,37,33,28,24,20,16,12,9,5,2,0,0,0,0,0,0,0
E01000147,66,66,66,66,66,66,66,59,58,57,55,51,47,42,38,33,29,25,22,18,15,11,8,5,2,0,0,0,0,0,0,0
E01000148,77,77,77,77,77,77,77,77,76,76,76,72,67,61,56,51,46,41,35,30,25,20,15,9,4,0,0,0,0,0,0,0
E01000150,71,71,71,71,71,71,71,71,71,71,70,66,62,57,52,47,42,38,33,28,23,18,13,9,4,0,0,0,0,0,0,0
E01000151,198,197,197,197,197,196,196,196,196,196,194,184,171,157,144,131,117,104,91,78,65,51,37,24,10,0,0,0,0,0,0,0
E01000152,165,164,164,164,164,164,163,163,163,163,161,153,142,131,120,109,98,87,76,65,54,42,31,20,8,0,0,0,0,0,0,0
E01000153,50,50,50,50,50,50,50,50,50,50,49,47,43,40,37,33,30,27,23,20,16,13,10,6,3,0,0,0,0,0,0,0
E01000154,77,77,77,77,77,77,77,77,77,77,76,72,67,62,56,51,46,41,36,30,25,20,15,9,4,0,0,0,0,0,0,0
E01000155,23,23,23,23,23,23,23,23,23,23,23,22,20,19,17,16,14,12,11,9,8,6,4,3,1,0,0,0,0,0,0,0
E01000156,57,57,57,57,57,57,57,51,50,49,48,45,41,37,33,29,26,22,19,16,13,10,7,4,2,0,0,0,0,0,0,0
E01000157,55,55,55,55,55,55,55,55,55,55,54,51,48,44,40,36,33,29,25,22,18,14,10,7,3,0,0,0,0,0,0,0
E01000158,56,56,56,56,56,56,56,56,56,56,55,52,49,45,41,37,34,30,26,22,18,14,11,7,3,0,0,0,0,0,0,0
E01000159,48,48,47,47,47,47,47,47,47,47,47,44,41,38,35,32,28,25,22,19,16,12,9,6,2,0,0,0,0,0,0,0
E01000160,75,75,75,75,75,75,75,75,75,75,74,70,65,60,55,50,45,40,35,30,25,19,14,9,4,0,0,0,0,0,0,0
