GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
West Ham 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willesden Grid 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willesden Grid 66 kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wimbledon Grid South 3/4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beddington SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.078,0.131,0.186,0.221,0.271,0.315,0.356,0.404,0.457,0.504,0.54,0.597,0.646,0.69,0.729,0.79,0.83,0.88,0.937,0.986
Bolney SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1.241,2.032,2.936,3.5,4.286,4.966,5.638,6.425,7.214,8.006,8.566,9.465,10.25,10.929,11.602,12.504,13.177,13.962,14.866,15.651
Canterbury SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.241,0.397,0.573,0.682,0.838,0.973,1.103,1.259,1.412,1.567,1.675,1.853,2.008,2.136,2.27,2.448,2.577,2.735,2.909,3.064
Chessington SGT 1 & SGT 4A,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.022,0.036,0.051,0.062,0.077,0.089,0.103,0.116,0.131,0.143,0.153,0.171,0.184,0.196,0.208,0.224,0.238,0.253,0.268,0.282
Chessington SGT 2 & SGT 4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004
Kemsley SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.833,25.002,25.142,25.284,25.448,25.614,25.781,25.896,26.086,26.25,26.392,26.534,26.723,26.864,27.029,27.218,27.383
Kemsley SGT 3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley SGT1 & 2,24.1,24.1,24.1,24.1,24.1,24.1,24.219,24.363,24.528,24.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingsnorth SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.191,0.312,0.449,0.533,0.654,0.757,0.863,0.983,1.102,1.224,1.31,1.448,1.568,1.669,1.774,1.912,2.015,2.135,2.273,2.391
Laleham SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Horsted SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.36,0.59,0.853,1.015,1.244,1.441,1.636,1.864,2.094,2.323,2.485,2.748,2.975,3.17,3.366,3.627,3.822,4.053,4.314,4.541
Littlebrook SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.005,0.005,0.006,0.007,0.007,0.008,0.008,0.008,0.01,0.01,0.01,0.011,0.011
Ninfield SGT,71.5,71.5,71.5,71.5,71.5,71.5,71.854,72.275,72.774,73.343,73.694,74.186,74.607,75.031,75.525,76.017,76.515,76.865,77.431,77.919,78.344,78.767,79.335,79.753,80.248,80.809,81.307
Northfleet SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.616,1.009,1.46,1.737,2.129,2.467,2.805,3.195,3.583,3.979,4.259,4.709,5.1,5.43,5.771,6.22,6.552,6.945,7.393,7.782
Sellindge SGT2 & 3 & Richborough SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.507,0.835,1.206,1.435,1.758,2.035,2.315,2.637,2.957,3.282,3.513,3.884,4.207,4.481,4.759,5.131,5.407,5.731,6.103,6.424
Sellindge SGT5A SGT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
