GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Beddington SGT,27.0,27.0,27.0,27.0,27.0,27.0,28.506,29.728,30.951,32.08,32.927,33.774,34.338,34.996,35.372,34.996,34.714,34.185,33.772,33.017,31.836,30.656,29.666,27.824,26.218,24.612,22.201
Bolney SGT,5.25,9.03,7.56,11.34,15.12,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.793,18.702,18.568,18.071,17.574,17.408,16.579,15.916,15.253,14.092
Canterbury SGT,40.0,40.0,40.0,40.0,40.0,40.0,40.666,41.206,41.747,42.246,42.62,42.994,43.244,43.535,43.702,43.535,43.41,43.018,42.699,42.168,40.908,39.647,38.963,36.918,35.223,33.529,30.739
Chessington SGT 1 & SGT 4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chessington SGT 2 & SGT 4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2,81.229,82.581,84.159,85.06,84.159,83.482,82.214,81.223,79.412,76.574,73.738,71.364,66.936,63.077,59.219,53.423
Kemsley SGT 3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley SGT1 & 2,65.0,65.0,65.0,65.0,65.0,65.0,68.606,71.537,74.466,77.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingsnorth SGT,0.0,8.982,17.964,26.946,35.928,44.91,45.061,45.183,45.306,45.419,45.504,45.588,45.645,45.711,45.748,45.71,45.682,45.391,45.145,44.771,43.543,42.314,41.844,39.81,38.168,36.526,33.692
Laleham SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Horsted SGT,0.0,0.0,21.0,21.0,21.0,21.0,22.343,23.435,24.526,25.533,26.289,27.044,27.548,28.136,28.472,28.136,27.884,27.43,27.076,26.425,25.452,24.48,23.624,22.115,20.791,19.467,17.505
Littlebrook SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ninfield SGT,15.75,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northfleet SGT,0.0,0.0,0.0,0.0,0.0,0.0,1.48,2.726,4.016,5.169,6.002,6.878,7.395,8.042,8.376,7.931,7.617,7.214,6.936,6.381,5.919,5.456,4.717,4.069,3.422,2.774,2.035
Sellindge SGT2 & 3 & Richborough SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sellindge SGT5A SGT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Weybridge SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
