LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000070,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
E01000071,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1
E01000072,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2
E01000073,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1
E01000074,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1
E01000075,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2
E01000076,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
E01000077,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
E01000078,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
E01000079,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1
E01000080,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1
E01000081,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,2,1,1,1,2,2,2,1,1,2,1
E01000082,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E01000083,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2
E01000084,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
E01000085,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1
E01000086,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
E01000087,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
E01000088,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2
E01000089,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
E01000090,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2
E01000091,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,3
E01000093,Counterfactual,Delayed Tech,PHEV Vans,Number,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1
E01000094,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,2,1,2,2,2,2,2,2,1,2,1,2
E01000095,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,1,1,1,1,1,1,2,1,2,2,2,2,2,3,3,3,4,3,3,4,3,3,4,4
E01000096,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2
E01000097,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,3
E01000098,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,1,1,0,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2
E01000099,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,1,0,0,0,1,1,1,1,2,2,3,3,3,4,4,4,5,4,4,5,5,5,5,5,5,5
E01000100,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
E01000101,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
E01000102,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,2
E01000103,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
