LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000072,Electric Engagement,ZEV Mandate,PHEV cars,Number,20,27,34,38,42,47,52,60,68,75,81,87,83,78,73,68,63,57,51,45,38,32,27,21,16,13,10,7
E01000073,Electric Engagement,ZEV Mandate,PHEV cars,Number,22,30,38,42,46,51,55,64,72,79,85,91,87,82,77,71,65,59,54,47,40,34,28,23,17,13,10,7
E01000074,Electric Engagement,ZEV Mandate,PHEV cars,Number,19,27,34,39,42,47,51,58,65,71,77,82,78,74,68,64,59,53,48,42,36,30,25,19,15,11,9,7
E01000075,Electric Engagement,ZEV Mandate,PHEV cars,Number,32,43,50,54,58,66,72,84,96,106,116,125,118,111,104,98,89,81,74,65,56,48,39,32,24,18,14,11
E01000076,Electric Engagement,ZEV Mandate,PHEV cars,Number,22,30,37,41,46,51,55,63,71,78,85,90,86,81,75,71,65,59,54,47,41,34,28,22,17,13,9,7
E01000077,Electric Engagement,ZEV Mandate,PHEV cars,Number,13,19,26,30,34,38,42,49,56,62,68,73,70,66,61,57,52,48,43,38,32,27,22,18,13,10,8,6
E01000078,Electric Engagement,ZEV Mandate,PHEV cars,Number,20,27,34,39,43,47,52,60,67,73,80,85,81,76,72,67,61,55,49,43,37,31,25,20,16,12,9,6
E01000079,Electric Engagement,ZEV Mandate,PHEV cars,Number,16,24,30,35,39,43,48,56,63,70,76,81,78,73,68,63,59,54,48,41,35,30,24,19,15,11,9,7
E01000080,Electric Engagement,ZEV Mandate,PHEV cars,Number,20,28,34,38,42,47,52,59,67,73,79,85,81,76,71,66,61,55,50,44,37,31,26,20,15,12,9,7
E01000081,Electric Engagement,ZEV Mandate,PHEV cars,Number,22,31,38,42,47,52,57,66,74,81,89,95,89,85,79,74,68,62,56,49,42,36,28,23,18,14,11,8
E01000082,Electric Engagement,ZEV Mandate,PHEV cars,Number,19,26,33,38,42,46,50,59,65,72,78,83,80,75,70,65,60,55,49,43,36,31,25,20,16,12,9,7
E01000083,Electric Engagement,ZEV Mandate,PHEV cars,Number,21,29,37,42,47,52,56,65,72,79,86,92,87,82,77,71,66,60,53,46,39,34,27,22,17,13,9,7
E01000084,Electric Engagement,ZEV Mandate,PHEV cars,Number,9,14,20,24,27,30,32,38,43,47,51,55,52,49,46,43,38,34,30,26,23,19,16,12,10,8,5,4
E01000085,Electric Engagement,ZEV Mandate,PHEV cars,Number,10,17,24,29,33,36,40,45,51,57,61,66,62,58,55,50,45,41,36,32,27,22,18,15,11,9,6,5
E01000086,Electric Engagement,ZEV Mandate,PHEV cars,Number,10,15,22,27,30,33,36,42,47,52,57,60,57,54,50,46,41,37,33,28,25,21,17,13,10,8,6,4
E01000087,Electric Engagement,ZEV Mandate,PHEV cars,Number,13,19,25,30,34,38,41,47,53,58,63,68,64,61,56,52,47,43,38,33,29,24,19,15,12,9,7,5
E01000088,Electric Engagement,ZEV Mandate,PHEV cars,Number,15,22,27,31,35,39,44,51,59,64,70,76,71,67,63,59,54,49,44,39,34,28,23,19,14,11,8,6
E01000089,Electric Engagement,ZEV Mandate,PHEV cars,Number,17,23,27,31,34,38,43,51,59,66,72,78,74,70,65,61,56,51,46,41,36,30,25,20,15,12,9,7
E01000090,Electric Engagement,ZEV Mandate,PHEV cars,Number,16,22,27,32,35,39,43,52,58,65,71,76,72,68,64,59,55,50,45,39,35,28,23,19,14,11,9,6
E01000091,Electric Engagement,ZEV Mandate,PHEV cars,Number,28,38,45,48,52,56,61,69,77,84,89,95,91,85,80,75,68,63,56,49,42,35,29,23,18,14,11,8
E01000093,Electric Engagement,ZEV Mandate,PHEV cars,Number,26,34,41,45,48,52,57,64,71,77,83,88,84,79,74,69,64,58,52,46,39,33,27,21,17,12,9,7
E01000094,Electric Engagement,ZEV Mandate,PHEV cars,Number,26,35,41,43,46,51,56,63,71,77,82,88,84,79,74,69,63,58,52,45,39,33,28,22,17,13,10,7
E01000095,Electric Engagement,ZEV Mandate,PHEV cars,Number,22,30,37,41,46,51,58,67,76,85,93,100,95,89,84,78,72,66,59,52,45,38,32,25,19,14,11,9
E01000096,Electric Engagement,ZEV Mandate,PHEV cars,Number,25,32,38,40,44,47,52,58,65,71,76,81,78,73,68,64,59,53,49,42,37,31,26,20,15,12,9,7
E01000097,Electric Engagement,ZEV Mandate,PHEV cars,Number,29,39,47,52,56,62,68,77,86,94,102,108,103,97,91,83,75,68,60,52,45,38,31,24,19,15,11,8
E01000098,Electric Engagement,ZEV Mandate,PHEV cars,Number,26,35,43,48,53,57,61,70,78,86,92,98,93,88,81,73,65,59,53,45,39,33,27,21,17,13,10,8
E01000099,Electric Engagement,ZEV Mandate,PHEV cars,Number,61,77,88,93,99,110,123,143,162,179,195,210,199,188,176,163,151,137,124,108,93,77,63,51,39,29,22,16
E01000100,Electric Engagement,ZEV Mandate,PHEV cars,Number,17,23,30,34,38,42,46,53,60,66,72,77,73,69,64,60,55,51,45,40,34,29,23,19,14,11,8,6
E01000101,Electric Engagement,ZEV Mandate,PHEV cars,Number,19,26,32,36,40,44,49,58,65,73,79,85,81,76,72,67,61,56,51,44,38,32,27,21,17,12,9,7
E01000102,Electric Engagement,ZEV Mandate,PHEV cars,Number,22,30,36,41,45,50,56,64,72,80,86,93,87,82,77,72,66,60,54,48,41,34,28,22,17,13,10,7
E01000103,Electric Engagement,ZEV Mandate,PHEV cars,Number,15,21,27,32,36,41,46,54,63,70,77,83,78,74,70,65,59,55,49,43,37,31,25,20,16,12,9,7
E01000104,Electric Engagement,ZEV Mandate,PHEV cars,Number,13,18,23,25,28,33,37,45,52,59,65,70,67,63,59,55,50,46,42,38,32,27,22,17,14,11,8,6
E01000105,Electric Engagement,ZEV Mandate,PHEV cars,Number,16,22,27,30,35,40,45,54,64,72,80,86,82,77,72,67,62,57,51,45,39,33,27,21,17,12,10,7
E01000106,Electric Engagement,ZEV Mandate,PHEV cars,Number,15,20,25,27,30,35,41,50,58,65,73,79,75,70,66,61,57,53,47,42,36,30,25,20,16,12,9,7
E01000107,Electric Engagement,ZEV Mandate,PHEV cars,Number,21,30,37,42,46,50,55,63,70,77,83,89,84,79,75,69,63,58,51,45,38,32,26,21,17,12,10,7
E01000108,Electric Engagement,ZEV Mandate,PHEV cars,Number,23,31,37,42,45,50,55,64,73,79,87,93,88,83,78,72,66,61,55,48,42,35,28,22,18,13,10,7
E01000110,Electric Engagement,ZEV Mandate,PHEV cars,Number,24,33,39,42,46,51,57,66,75,84,90,97,93,87,82,75,70,64,57,51,44,37,31,24,19,15,11,8
E01000111,Electric Engagement,ZEV Mandate,PHEV cars,Number,24,32,38,42,46,51,56,66,74,83,90,97,92,86,82,76,70,63,58,51,44,37,30,24,19,15,11,8
E01000112,Electric Engagement,ZEV Mandate,PHEV cars,Number,23,30,34,38,41,46,51,60,68,76,83,89,84,79,74,69,64,58,53,47,40,34,28,23,18,13,10,7
E01000113,Electric Engagement,ZEV Mandate,PHEV cars,Number,21,27,31,34,36,41,45,53,61,68,74,80,76,72,67,62,57,53,47,42,36,30,25,20,16,12,9,7
E01000114,Electric Engagement,ZEV Mandate,PHEV cars,Number,23,31,38,44,48,54,59,69,78,87,94,101,96,91,85,79,73,67,60,53,45,39,31,25,19,15,11,8
E01000115,Electric Engagement,ZEV Mandate,PHEV cars,Number,16,23,30,35,40,45,51,60,69,77,85,91,87,82,76,71,65,60,53,47,40,33,27,21,17,13,9,7
E01000116,Electric Engagement,ZEV Mandate,PHEV cars,Number,17,25,32,37,42,49,55,66,76,84,92,101,95,90,84,79,73,65,60,52,44,37,30,24,19,14,10,8
E01000117,Electric Engagement,ZEV Mandate,PHEV cars,Number,24,33,42,48,53,59,65,75,85,94,102,109,104,98,92,85,78,71,63,55,47,40,32,26,20,15,12,9
E01000118,Electric Engagement,ZEV Mandate,PHEV cars,Number,29,40,48,54,59,66,73,86,98,109,119,127,121,115,107,100,92,84,75,67,57,48,39,31,24,19,14,10
E01000119,Electric Engagement,ZEV Mandate,PHEV cars,Number,18,26,33,39,44,50,56,67,77,85,94,101,96,91,85,79,73,67,59,52,44,37,30,24,19,14,11,8
E01000120,Electric Engagement,ZEV Mandate,PHEV cars,Number,15,23,30,35,40,45,50,60,69,76,84,90,85,81,76,71,65,59,52,46,39,32,26,22,16,12,9,7
E01000121,Electric Engagement,ZEV Mandate,PHEV cars,Number,16,22,29,33,36,40,45,51,58,64,70,74,71,67,62,58,53,48,43,37,32,27,22,18,14,10,8,6
