LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000071,0,1,1,1,2,2,2,2,3,3,3,4,6,7,9,10,11,13,14,15,17,18,19,21,22,23,24
E01000072,0,0,1,1,1,1,1,1,1,1,2,3,4,6,7,8,10,11,12,13,15,16,17,19,20,21,21
E01000073,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,4,4,4,5,5,5,6,6,6
E01000074,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2
E01000075,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,14
E01000076,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,14
E01000077,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4
E01000078,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,7,7
E01000079,0,0,0,0,0,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16
E01000080,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,5,6,7,8,9,9,10,11,12,12,12
E01000081,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3
E01000082,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,15
E01000083,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,4,4,4,5,5,6,6,6
E01000084,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4
E01000085,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4
E01000086,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4
E01000087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000088,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,5,6,6,7,8,8,9,10,10,10
E01000089,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,4,4,5,5,6,6,6,7,7
E01000090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000091,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,4,4,4,5,5,5,6,6,6
