LSOA11CD,Parameter,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000120,Domestic heat pump,Number,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3
E01000121,Domestic heat pump,Number,5,5,6,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11
E01000122,Domestic heat pump,Number,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
E01000123,Domestic heat pump,Number,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9
E01000124,Domestic heat pump,Number,5,6,7,8,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15
E01000125,Domestic heat pump,Number,10,12,14,17,20,21,21,21,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,31,31,32,33,33,34
E01000126,Domestic heat pump,Number,23,25,29,32,37,37,38,39,39,40,41,42,43,44,45,45,46,47,48,48,49,50,51,52,53,54,55,56,57,58
E01000127,Domestic heat pump,Number,1,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7
E01000128,Domestic heat pump,Number,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
E01000129,Domestic heat pump,Number,2,3,4,5,6,6,6,6,6,7,7,7,7,8,8,8,8,8,9,9,9,10,10,10,10,11,11,11,12,12
E01000130,Domestic heat pump,Number,6,7,9,11,13,13,13,13,13,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,19,19,19
E01000131,Domestic heat pump,Number,2,2,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,8,8
E01000132,Domestic heat pump,Number,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7
E01000133,Domestic heat pump,Number,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4
E01000134,Domestic heat pump,Number,10,12,14,17,20,20,21,21,21,22,23,23,24,24,25,25,26,26,26,27,27,28,29,29,30,30,31,32,32,33
E01000135,Domestic heat pump,Number,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
E01000136,Domestic heat pump,Number,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9
E01000137,Domestic heat pump,Number,2,2,3,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8
E01000138,Domestic heat pump,Number,6,6,7,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13
E01000139,Domestic heat pump,Number,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5
E01000140,Domestic heat pump,Number,7,7,8,9,10,10,10,10,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,15,15,15,15
E01000141,Domestic heat pump,Number,10,11,13,15,17,17,18,18,18,19,19,20,20,21,21,21,22,22,23,23,23,24,24,25,25,26,27,27,28,28
