LSOA21CD,Scenario,Parameter,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000171,ICE Ban,PHEV cars,Number,13,20,25,29,32,37,42,47,56,64,72,79,85,80,75,70,65,60,54,48,43,36,30,24,19,14,10,7,5
E01000172,ICE Ban,PHEV cars,Number,14,22,26,30,33,38,43,48,57,65,72,79,85,80,76,70,65,60,54,48,43,36,30,24,19,14,10,7,5
E01000173,ICE Ban,PHEV cars,Number,13,20,24,28,32,36,41,47,55,63,71,79,84,79,74,69,64,59,53,48,42,36,30,24,19,14,10,7,5
E01000174,ICE Ban,PHEV cars,Number,11,17,20,24,27,31,35,39,46,53,60,65,70,67,63,58,54,48,45,40,35,30,25,20,16,12,8,6,4
E01000175,ICE Ban,PHEV cars,Number,13,20,24,28,31,36,41,46,54,62,69,76,82,77,73,68,63,58,52,47,41,35,29,23,18,14,10,7,5
E01000176,ICE Ban,PHEV cars,Number,11,17,20,22,25,28,31,34,40,45,50,54,58,55,52,48,45,41,37,33,29,25,20,16,13,10,7,5,3
E01000177,ICE Ban,PHEV cars,Number,16,24,28,30,33,36,39,43,49,54,59,64,68,64,60,56,52,48,43,38,33,28,23,19,15,11,8,6,4
E01000178,ICE Ban,PHEV cars,Number,12,18,22,24,27,30,34,37,43,49,54,59,63,60,56,52,48,44,40,36,31,27,22,18,14,10,7,5,3
E01000179,ICE Ban,PHEV cars,Number,17,24,28,31,34,37,41,44,50,56,61,66,70,67,62,58,54,49,45,40,34,29,24,19,15,11,8,6,4
E01000180,ICE Ban,PHEV cars,Number,15,22,26,28,30,33,37,40,45,50,55,60,63,60,56,52,49,45,40,36,31,26,22,18,14,10,7,5,3
E01000181,ICE Ban,PHEV cars,Number,14,21,24,26,28,31,34,37,42,47,52,56,59,56,51,49,45,42,38,33,29,25,20,16,13,10,7,5,3
