LSOA11CD,Parameter,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000052,Non-domestic heat pump,Number,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4
E01000053,Non-domestic heat pump,Number,0,0,1,1,2,2,2,2,2,3,3,3,3,4,6,8,10,12,14,15,17,19,21,23,24,26,28,29,31,31
E01000054,Non-domestic heat pump,Number,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
E01000055,Non-domestic heat pump,Number,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5
E01000056,Non-domestic heat pump,Number,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,5,5,5,6,6,6,7,7,7,7,7
E01000057,Non-domestic heat pump,Number,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,5,5
E01000058,Non-domestic heat pump,Number,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,4,4,5,5,6,6,6,7,7,7,8,8,8,9,9
E01000059,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E01000060,Non-domestic heat pump,Number,0,0,1,1,2,2,2,3,3,3,4,4,5,5,9,14,18,22,27,31,35,38,42,46,50,54,58,62,65,65
E01000061,Non-domestic heat pump,Number,0,0,2,4,5,6,6,7,8,8,9,10,11,12,17,22,27,32,37,42,47,51,56,61,65,70,74,78,83,83
E01000062,Non-domestic heat pump,Number,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,4,4,5,6,7,8,9,9,10,11,12,13,13,14,14
E01000063,Non-domestic heat pump,Number,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4
E01000064,Non-domestic heat pump,Number,0,0,1,1,1,2,2,2,2,3,3,3,3,4,6,8,10,11,13,15,17,18,20,22,24,25,27,29,30,30
E01000065,Non-domestic heat pump,Number,0,0,0,1,1,1,1,1,2,2,2,3,3,3,6,9,12,15,18,20,23,26,28,31,33,36,39,41,44,44
E01000066,Non-domestic heat pump,Number,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9
E01000067,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2
E01000068,Non-domestic heat pump,Number,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6
E01000069,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000070,Non-domestic heat pump,Number,0,0,1,2,3,3,4,4,4,4,5,5,5,6,8,9,11,13,15,16,18,20,21,23,24,26,28,29,31,31
E01000071,Non-domestic heat pump,Number,0,0,1,1,1,1,2,2,2,2,2,2,2,2,3,4,5,6,6,7,8,8,9,10,11,11,12,13,13,13
E01000072,Non-domestic heat pump,Number,0,0,0,1,1,1,1,2,2,2,2,3,3,3,5,8,10,12,14,16,18,20,22,24,26,28,30,32,34,34
E01000073,Non-domestic heat pump,Number,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,5,5,6,6,6,7,7,8,8,9,9,9
E01000074,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3
E01000075,Non-domestic heat pump,Number,0,0,1,3,4,4,4,5,5,5,5,5,5,6,7,8,8,9,10,11,12,12,13,14,15,15,16,17,18,18
E01000076,Non-domestic heat pump,Number,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,4,5,6,7,7,8,9,10,10,11,12,13,13,13
E01000077,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4
E01000078,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,5,5,6,7,7,8,9,9,10,11,11,11
E01000079,Non-domestic heat pump,Number,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,5,5,6,7,7,8,8,9,10,10,11,11
E01000080,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,4,5,6,6,7,7,8,9,9,10,10,10
E01000081,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2
E01000082,Non-domestic heat pump,Number,0,0,1,1,1,2,2,2,3,3,3,4,4,5,7,10,13,16,18,21,24,26,29,31,33,36,38,41,43,43
E01000083,Non-domestic heat pump,Number,0,0,0,1,1,1,1,1,1,2,2,2,2,2,4,6,7,9,11,12,14,15,16,18,19,21,22,24,25,25
E01000084,Non-domestic heat pump,Number,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
E01000085,Non-domestic heat pump,Number,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,4,5,6,6,7,8,9,9,10,11,11,12,13,13
E01000086,Non-domestic heat pump,Number,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4
E01000087,Non-domestic heat pump,Number,0,0,0,1,1,1,2,2,2,3,3,4,4,5,9,13,17,21,25,29,32,36,39,43,46,50,53,57,60,60
E01000088,Non-domestic heat pump,Number,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5
E01000089,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3
E01000090,Non-domestic heat pump,Number,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,8,9,10,11,12,13,13,14,14
E01000091,Non-domestic heat pump,Number,0,0,1,2,2,2,3,3,3,4,4,5,5,6,8,11,14,17,20,22,25,28,30,33,35,38,40,43,45,46
E01000092,Non-domestic heat pump,Number,0,1,6,11,17,18,19,20,21,22,24,25,27,28,38,48,57,66,76,84,93,102,110,118,127,135,143,152,160,160
E01000093,Non-domestic heat pump,Number,0,0,1,2,3,3,3,4,4,4,5,5,6,6,8,10,12,14,16,17,19,21,22,24,25,27,28,30,31,31
E01000094,Non-domestic heat pump,Number,0,0,1,1,1,2,2,2,2,2,2,3,3,3,4,5,6,8,9,10,11,12,13,14,15,16,17,17,18,18
E01000095,Non-domestic heat pump,Number,0,0,2,4,5,6,7,8,9,10,11,12,13,14,16,18,20,22,24,26,28,29,31,32,34,35,36,38,39,39
E01000096,Non-domestic heat pump,Number,0,0,3,6,9,10,11,12,13,14,15,16,17,18,22,26,30,34,37,40,44,47,50,53,56,59,62,65,68,68
E01000097,Non-domestic heat pump,Number,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,5,5,5,6,6,6,7,7,7,7
E01000098,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4
E01000099,Non-domestic heat pump,Number,0,0,2,3,4,4,5,6,6,7,8,9,10,10,13,17,20,23,25,28,31,33,36,38,41,43,46,48,51,51
E01000100,Non-domestic heat pump,Number,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,6,6,6,7,7,7,7
E01000101,Non-domestic heat pump,Number,0,0,1,1,2,2,2,2,2,2,3,3,3,3,3,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11
E01000102,Non-domestic heat pump,Number,0,1,1,2,2,3,3,3,4,4,5,5,6,6,9,12,16,19,22,25,28,30,33,36,39,42,45,47,50,50
E01000103,Non-domestic heat pump,Number,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,5,6,6,6,6,7,7,7
E01000104,Non-domestic heat pump,Number,0,0,1,1,2,2,3,4,5,5,6,7,8,9,12,14,17,19,22,24,26,28,30,31,33,35,37,39,40,40
E01000105,Non-domestic heat pump,Number,0,0,1,1,2,2,3,3,3,4,4,5,5,6,11,15,19,24,28,33,37,41,45,49,53,57,61,65,69,69
E01000106,Non-domestic heat pump,Number,0,0,2,4,6,6,8,10,12,14,16,18,20,23,27,32,37,41,44,48,52,55,58,60,63,66,68,71,74,74
E01000107,Non-domestic heat pump,Number,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,4,5,6,6,7,8,8,9,9,10,11,11,12,12,12
E01000108,Non-domestic heat pump,Number,0,0,1,1,2,2,2,2,2,2,3,3,3,3,5,6,8,9,11,12,13,15,16,17,18,20,21,22,23,23
E01000109,Non-domestic heat pump,Number,0,0,1,2,3,3,4,4,4,4,4,4,5,5,6,7,8,9,10,11,12,13,14,14,15,16,17,18,19,19
